function,value,timeunit,number of runs,Number of logs
Q2-snapshot-LogNormalType,417,ms,5,36784
Q2-snapshot-LogNormalType,504,ms,5,43455
Q2-snapshot-LogNormalType,722,ms,5,58691
Q2-snapshot-LogNormalType,667,ms,5,92120
Q2-snapshot-LogNormalType,1861,ms,5,169477
