function,value,timeunit,number of runs,Number of logs
Q1-snapshot-LogNormalType,248,ms,5,36784
Q1-snapshot-LogNormalType,233,ms,5,43455
Q1-snapshot-LogNormalType,275,ms,5,58691
Q1-snapshot-LogNormalType,305,ms,5,92120
Q1-snapshot-LogNormalType,494,ms,5,169477
