function,value,timeunit,number of runs,Number of logs
Q4-landy-UniformType,949,ms,5,49668
Q4-landy-UniformType,1927,ms,5,83591
Q4-landy-UniformType,2385,ms,5,115538
Q4-landy-UniformType,3865,ms,5,148223
Q4-landy-UniformType,4099,ms,5,181965
