function,value,timeunit,number of runs,Number of logs
Q4-snapshot-LogNormalType,573,ms,5,36784
Q4-snapshot-LogNormalType,787,ms,5,43455
Q4-snapshot-LogNormalType,1175,ms,5,58691
Q4-snapshot-LogNormalType,1706,ms,5,92120
Q4-snapshot-LogNormalType,3692,ms,5,169477
