function,value,timeunit,number of runs,Number of logs
Q4-snapshot-UniformType,739,ms,5,49668
Q4-snapshot-UniformType,1295,ms,5,83591
Q4-snapshot-UniformType,1706,ms,5,115538
Q4-snapshot-UniformType,2455,ms,5,148223
Q4-snapshot-UniformType,2627,ms,5,181965
