function,value,timeunit,number of runs,Number of logs
Q4-landy-LogNormalType,671,ms,5,36784
Q4-landy-LogNormalType,994,ms,5,43455
Q4-landy-LogNormalType,1421,ms,5,58691
Q4-landy-LogNormalType,1971,ms,5,92120
Q4-landy-LogNormalType,4349,ms,5,169477
