function,value,timeunit,number of runs,Number of logs
Q2-landy-LogNormalType,741,ms,5,36784
Q2-landy-LogNormalType,1069,ms,5,43455
Q2-landy-LogNormalType,1669,ms,5,58691
Q2-landy-LogNormalType,2371,ms,5,92120
Q2-landy-LogNormalType,5599,ms,5,169477
