function,value,timeunit,number of runs,Number of logs
Q2-landy-UniformType,940,ms,5,49668
Q2-landy-UniformType,1777,ms,5,83591
Q2-landy-UniformType,2368,ms,5,115538
Q2-landy-UniformType,3603,ms,5,148223
Q2-landy-UniformType,3986,ms,5,181965
