function,value,timeunit,number of runs,number of logs
Q3-landy-LogNormalType,492,ms,5,36784
Q3-landy-LogNormalType,689,ms,5,43455
Q3-landy-LogNormalType,1051,ms,5,58691
Q3-landy-LogNormalType,1531,ms,5,92120
Q3-landy-LogNormalType,3416,ms,5,169477
