function,value,timeunit,number of runs,Number of logs
Q1-landy-LogNormalType,453,ms,5,36784
Q1-landy-LogNormalType,593,ms,5,43455
Q1-landy-LogNormalType,833,ms,5,58691
Q1-landy-LogNormalType,1179,ms,5,92120
Q1-landy-LogNormalType,2781,ms,5,169477
