function,value,timeunit,number of runs,number of logs
Q3-landy-UniformType,706,ms,5,49668
Q3-landy-UniformType,1228,ms,5,83591
Q3-landy-UniformType,1599,ms,5,115538
Q3-landy-UniformType,2266,ms,5,148223
Q3-landy-UniformType,2662,ms,5,181965
